
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
O(De 1 pt) 
     Coord. X =          274,998                                                                                
     Coord. Y =          199,996                                                                                
     Coord. Z =           -0,020                                                                                

Plan-1(De 108 pt) 
     Coord. X =          137,498                                                                                
     Coord. Y =           99,996                                                                                
     Coord. Z =           -0,006                                                                                
   Angle (XY) =       111 28'51"                                                                                
      Angle X =        90  0'24"                                                                                
      Angle Y =        89 58'59"                                                                                
      Angle Z =         0  1' 5"                                                                                
     Planéité =                                            0,049                                                
    Plan. min =                                            0,031                                                
    Plan. max =                                            0,018                                                

