SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
369215,341589,34.96226501464844,31.538976669311523,True,43.23125355575272,6.250147827698697,0.005912965517390845,19.07310394280788
369217,341591,33.51950454711914,36.208858489990234,True,31.382541517492292,6.233238700271897,-0.013301223477869328,21.106880467310315
369218,341592,32.67585372924805,39.032630920410156,True,9.191668541982922,6.206746922693583,-0.054654894709530666,41.24029289697289
369220,341594,37.812591552734375,40.42375946044922,True,3.410136962577482,6.423854246698198,0.13552734929729304,72.39191920637414
369221,341595,36.913516998291016,38.33235549926758,True,10.36974611381147,6.242201548470348,-0.016598375268829457,38.24018418091452
369223,341597,30.154237747192383,35.0467414855957,True,20.562780152250273,6.243288448862984,-0.006153405512501209,25.702727784999915
369224,341598,37.265872955322266,32.27653121948242,True,34.36138842646347,6.250012014707863,0.004075188676454289,20.406983103793113
369308,341602,34.75907897949219,41.276981353759766,True,5.256586709766322,6.211481105453942,-0.06466509114846097,57.98358272746862
369309,341603,32.465972900390625,34.51182556152344,True,32.420766757414874,6.255134636523508,0.008808321429819799,20.844066785096604
369313,341607,36.79026794433594,32.28474044799805,True,26.728952558883492,6.256497634647616,0.008921481399871922,22.593780345972892
369315,341609,38.0635871887207,37.48389434814453,True,4.299559540104646,6.256051847303894,-0.025832131720436635,64.6789025583331
369317,341611,39.68840789794922,35.34551239013672,True,9.837451494327055,6.202789247108484,-0.05711331733264835,39.51999556932144
369321,341615,32.87718963623047,38.20527267456055,True,75.34252063669693,6.153314608246177,-0.08491495460775234,17.84017371223206
369322,341616,37.05072021484375,34.940879821777344,True,22.59415832376888,6.2190175020245135,-0.029702907570483106,24.48904876756953
369323,341617,40.14047622680664,31.86289405822754,True,4.624761143979181,6.240043004709321,-0.039763995081754544,62.23738190595515
369324,341618,35.511077880859375,34.062557220458984,True,40.8150092679285,6.260924820506034,0.01623316703622457,19.350520960330552
369327,341621,38.569068908691406,37.820247650146484,True,3.7692172802845065,5.839960527550062,-0.44562258499164464,69.08091200430147
369330,341624,35.57603454589844,35.19542694091797,True,60.806429743508616,6.24298340732031,0.0020391476885723847,18.07253990733605
369331,341625,36.22499084472656,37.2659797668457,True,26.845128554340683,6.234544374742455,-0.013003612375063867,22.54943785374284
369332,341626,36.204856872558594,37.30224609375,True,35.23214924976864,6.237050694699036,-0.008714524970473647,20.231510586322095
369335,341629,34.174766540527344,37.69475173950195,True,35.02274051689299,6.217321957823174,-0.02848438360202188,20.27262216988683
369338,341632,40.3718376159668,35.324951171875,True,1.1761424320387723,6.191019734283685,-0.11981944395982147,101.07787780495819
369339,341633,34.62297439575195,33.544010162353516,True,50.09006493239646,6.220341432889313,-0.022606032904471718,18.518218404058114
369340,341634,38.751155853271484,34.438270568847656,True,9.073559718512687,6.318525319116446,0.05682832888081357,41.57695986372888
369341,341635,34.27802658081055,31.99049186706543,True,31.09566520064908,6.238302814463339,-0.008296936453076498,21.183393066286687
369342,341636,38.09444046020508,33.19983673095703,True,36.02015033819229,6.255000107328016,0.009388881653014991,20.082712934600615
369343,341637,34.163780212402344,33.19858169555664,True,29.666314487620497,6.232876452214072,-0.014027692372222234,21.591764788768856
369348,341642,35.62123107910156,38.92824935913086,True,22.191811924001673,6.191963279164867,-0.056888905834084014,24.71209823949211
369351,341645,37.05430221557617,40.29201889038086,True,4.217379126427704,6.089501201344319,-0.1929299356744476,65.32564200230968
369353,341647,38.95734786987305,35.55521774291992,True,8.637959575637773,6.290523383006217,0.02767677662839141,42.8835588815671
